,timestamp,value
0,2014-02-14 14:30:00,1.732
1,2014-02-14 14:35:00,1.732
2,2014-02-14 14:40:00,1.96
3,2014-02-14 14:45:00,1.732
4,2014-02-14 14:50:00,1.706
5,2014-02-14 14:55:00,1.734
6,2014-02-14 15:00:00,1.766
7,2014-02-14 15:05:00,1.766
8,2014-02-14 15:10:00,2.026
9,2014-02-14 15:15:00,1.7619999999999998
10,2014-02-14 15:20:00,1.704
11,2014-02-14 15:25:00,1.834
12,2014-02-14 15:30:00,1.832
13,2014-02-14 15:35:00,1.826
14,2014-02-14 15:40:00,1.908
15,2014-02-14 15:45:00,1.798
16,2014-02-14 15:50:00,1.732
17,2014-02-14 15:55:00,1.802
18,2014-02-14 16:00:00,1.764
19,2014-02-14 16:05:00,1.86
20,2014-02-14 16:10:00,1.998
21,2014-02-14 16:15:00,1.7719999999999998
22,2014-02-14 16:20:00,1.734
23,2014-02-14 16:25:00,1.766
24,2014-02-14 16:30:00,1.76
25,2014-02-14 16:35:00,1.7380000000000002
26,2014-02-14 16:40:00,1.93
27,2014-02-14 16:45:00,1.8
28,2014-02-14 16:50:00,1.732
29,2014-02-14 16:55:00,1.766
30,2014-02-14 17:00:00,1.798
31,2014-02-14 17:05:00,1.8
32,2014-02-14 17:10:00,1.99
33,2014-02-14 17:15:00,1.7380000000000002
34,2014-02-14 17:20:00,1.76
35,2014-02-14 17:25:00,1.7719999999999998
36,2014-02-14 17:30:00,1.764
37,2014-02-14 17:35:00,1.732
38,2014-02-14 17:40:00,2.0
39,2014-02-14 17:45:00,1.7
40,2014-02-14 17:50:00,1.798
41,2014-02-14 17:55:00,1.732
42,2014-02-14 18:00:00,1.764
43,2014-02-14 18:05:00,1.7619999999999998
44,2014-02-14 18:10:00,1.97
45,2014-02-14 18:15:00,1.7280000000000002
46,2014-02-14 18:20:00,1.806
47,2014-02-14 18:25:00,1.8
48,2014-02-14 18:30:00,1.86
49,2014-02-14 18:35:00,1.7380000000000002
50,2014-02-14 18:40:00,1.992
51,2014-02-14 18:45:00,1.702
52,2014-02-14 18:50:00,1.766
53,2014-02-14 18:55:00,1.76
54,2014-02-14 19:00:00,1.832
55,2014-02-14 19:05:00,1.774
56,2014-02-14 19:10:00,1.998
57,2014-02-14 19:15:00,1.7919999999999998
58,2014-02-14 19:20:00,1.798
59,2014-02-14 19:25:00,1.838
60,2014-02-14 19:30:00,1.798
61,2014-02-14 19:35:00,1.764
62,2014-02-14 19:40:00,2.032
63,2014-02-14 19:45:00,1.83
64,2014-02-14 19:50:00,1.766
65,2014-02-14 19:55:00,1.954
66,2014-02-14 20:00:00,1.702
67,2014-02-14 20:05:00,1.866
68,2014-02-14 20:10:00,1.966
69,2014-02-14 20:15:00,1.83
70,2014-02-14 20:20:00,1.76
71,2014-02-14 20:25:00,1.836
72,2014-02-14 20:30:00,1.766
73,2014-02-14 20:35:00,1.826
74,2014-02-14 20:40:00,1.904
75,2014-02-14 20:45:00,1.83
76,2014-02-14 20:50:00,1.732
77,2014-02-14 20:55:00,1.826
78,2014-02-14 21:00:00,1.704
79,2014-02-14 21:05:00,1.766
80,2014-02-14 21:10:00,1.958
81,2014-02-14 21:15:00,1.764
82,2014-02-14 21:20:00,1.768
83,2014-02-14 21:25:00,1.7719999999999998
84,2014-02-14 21:30:00,1.788
85,2014-02-14 21:35:00,1.67
86,2014-02-14 21:40:00,1.866
87,2014-02-14 21:45:00,1.732
88,2014-02-14 21:50:00,1.726
89,2014-02-14 21:55:00,1.706
90,2014-02-14 22:00:00,1.834
91,2014-02-14 22:05:00,1.734
92,2014-02-14 22:10:00,1.968
93,2014-02-14 22:15:00,1.966
94,2014-02-14 22:20:00,2.0580000000000003
95,2014-02-14 22:25:00,1.838
96,2014-02-14 22:30:00,1.966
97,2014-02-14 22:35:00,1.932
98,2014-02-14 22:40:00,2.162
99,2014-02-14 22:45:00,1.926
100,2014-02-14 22:50:00,1.968
101,2014-02-14 22:55:00,1.932
102,2014-02-14 23:00:00,2.006
103,2014-02-14 23:05:00,1.992
104,2014-02-14 23:10:00,2.0340000000000003
105,2014-02-14 23:15:00,1.704
106,2014-02-14 23:20:00,1.834
107,2014-02-14 23:25:00,1.732
108,2014-02-14 23:30:00,1.824
109,2014-02-14 23:35:00,1.704
110,2014-02-14 23:40:00,1.966
111,2014-02-14 23:45:00,1.766
112,2014-02-14 23:50:00,1.8
113,2014-02-14 23:55:00,1.764
114,2014-02-15 00:00:00,1.858
115,2014-02-15 00:05:00,1.84
116,2014-02-15 00:10:00,2.0
117,2014-02-15 00:15:00,1.8
118,2014-02-15 00:20:00,1.76
119,2014-02-15 00:25:00,1.806
120,2014-02-15 00:30:00,1.766
121,2014-02-15 00:35:00,1.8
122,2014-02-15 00:40:00,1.966
123,2014-02-15 00:45:00,1.796
124,2014-02-15 00:50:00,1.798
125,2014-02-15 00:55:00,1.794
126,2014-02-15 01:00:00,1.84
127,2014-02-15 01:05:00,1.766
128,2014-02-15 01:10:00,1.962
129,2014-02-15 01:15:00,1.766
130,2014-02-15 01:20:00,1.756
131,2014-02-15 01:25:00,1.7380000000000002
132,2014-02-15 01:30:00,1.7280000000000002
133,2014-02-15 01:35:00,1.832
134,2014-02-15 01:40:00,2.0
135,2014-02-15 01:45:00,1.7
136,2014-02-15 01:50:00,1.774
137,2014-02-15 01:55:00,1.8
138,2014-02-15 02:00:00,1.732
139,2014-02-15 02:05:00,1.8
140,2014-02-15 02:10:00,2.06
141,2014-02-15 02:15:00,1.798
142,2014-02-15 02:20:00,1.764
143,2014-02-15 02:25:00,1.67
144,2014-02-15 02:30:00,1.86
145,2014-02-15 02:35:00,1.83
146,2014-02-15 02:40:00,1.942
147,2014-02-15 02:45:00,1.766
148,2014-02-15 02:50:00,1.766
149,2014-02-15 02:55:00,1.76
150,2014-02-15 03:00:00,1.838
151,2014-02-15 03:05:00,1.86
152,2014-02-15 03:10:00,1.904
153,2014-02-15 03:15:00,1.7619999999999998
154,2014-02-15 03:20:00,1.86
155,2014-02-15 03:25:00,1.7380000000000002
156,2014-02-15 03:30:00,2.466
157,2014-02-15 03:35:00,1.8
158,2014-02-15 03:40:00,1.966
159,2014-02-15 03:45:00,1.734
160,2014-02-15 03:50:00,1.798
161,2014-02-15 03:55:00,1.76
162,2014-02-15 04:00:00,1.77
163,2014-02-15 04:05:00,1.826
164,2014-02-15 04:10:00,1.94
165,2014-02-15 04:15:00,1.766
166,2014-02-15 04:20:00,1.8
167,2014-02-15 04:25:00,1.794
168,2014-02-15 04:30:00,1.798
169,2014-02-15 04:35:00,1.7719999999999998
170,2014-02-15 04:40:00,2.032
171,2014-02-15 04:45:00,1.798
172,2014-02-15 04:50:00,1.832
173,2014-02-15 04:55:00,1.796
174,2014-02-15 05:00:00,1.798
175,2014-02-15 05:05:00,1.7919999999999998
176,2014-02-15 05:10:00,2.102
177,2014-02-15 05:15:00,1.7380000000000002
178,2014-02-15 05:20:00,1.768
179,2014-02-15 05:25:00,1.888
180,2014-02-15 05:30:00,1.702
181,2014-02-15 05:35:00,1.958
182,2014-02-15 05:40:00,1.866
183,2014-02-15 05:45:00,1.734
184,2014-02-15 05:50:00,1.766
185,2014-02-15 05:55:00,1.824
